Combination of QQ=/ceph/sgiappic/FCCAnalyses/examples/FCCee/higgs/tautau/xsec/combine//ktN-explicit/QQ/datacard_QQ.txt  LL=/ceph/sgiappic/FCCAnalyses/examples/FCCee/higgs/tautau/xsec/combine//ktN-explicit/LL/datacard_LL.txt  NuNu=/ceph/sgiappic/FCCAnalyses/examples/FCCee/higgs/tautau/xsec/combine//ktN-explicit/NuNu/datacard_NuNu.txt
shapes wzp6_ee_LLH_Hgg_ecm240          QQ_QQHH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/HH/wzp6_ee_LLH_Hgg_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_LLH_Htautau_ecm240      QQ_QQHH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/HH/wzp6_ee_LLH_Htautau_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_QQH_HQQ_ecm240          QQ_QQHH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/HH/wzp6_ee_QQH_HQQ_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_QQH_HVV_ecm240          QQ_QQHH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/HH/wzp6_ee_QQH_HVV_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_QQH_Hgg_ecm240          QQ_QQHH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/HH/wzp6_ee_QQH_Hgg_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_QQH_Htautau_ecm240      QQ_QQHH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/HH/wzp6_ee_QQH_Htautau_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_nuenueZ_ecm240          QQ_QQHH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/HH/wzp6_ee_nuenueZ_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_nunuH_HQQ_ecm240        QQ_QQHH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/HH/wzp6_ee_nunuH_HQQ_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_nunuH_HVV_ecm240        QQ_QQHH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/HH/wzp6_ee_nunuH_HVV_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_nunuH_Hgg_ecm240        QQ_QQHH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/HH/wzp6_ee_nunuH_Hgg_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_nunuH_Htautau_ecm240    QQ_QQHH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/HH/wzp6_ee_nunuH_Htautau_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_tautauH_HQQ_ecm240      QQ_QQHH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/HH/wzp6_ee_tautauH_HQQ_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_tautauH_HVV_ecm240      QQ_QQHH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/HH/wzp6_ee_tautauH_HVV_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_tautauH_Hgg_ecm240      QQ_QQHH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/HH/wzp6_ee_tautauH_Hgg_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_tautauH_Htautau_ecm240  QQ_QQHH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/HH/wzp6_ee_tautauH_Htautau_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_tautau_ecm240           QQ_QQHH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/HH/wzp6_ee_tautau_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes data_obs                        QQ_QQLH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LH/wzp6_ee_LLH_Htautau_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes p8_ee_WW_ecm240                 QQ_QQLH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LH/p8_ee_WW_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes p8_ee_ZZ_ecm240                 QQ_QQLH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LH/p8_ee_ZZ_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes p8_ee_Zqq_ecm240                QQ_QQLH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LH/p8_ee_Zqq_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_LLH_HQQ_ecm240          QQ_QQLH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LH/wzp6_ee_LLH_HQQ_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_LLH_HVV_ecm240          QQ_QQLH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LH/wzp6_ee_LLH_HVV_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_LLH_Hgg_ecm240          QQ_QQLH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LH/wzp6_ee_LLH_Hgg_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_LLH_Htautau_ecm240      QQ_QQLH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LH/wzp6_ee_LLH_Htautau_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_LL_ecm240               QQ_QQLH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LH/wzp6_ee_LL_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_QQH_HQQ_ecm240          QQ_QQLH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LH/wzp6_ee_QQH_HQQ_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_QQH_HVV_ecm240          QQ_QQLH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LH/wzp6_ee_QQH_HVV_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_QQH_Htautau_ecm240      QQ_QQLH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LH/wzp6_ee_QQH_Htautau_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_nunuH_HQQ_ecm240        QQ_QQLH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LH/wzp6_ee_nunuH_HQQ_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_nunuH_HVV_ecm240        QQ_QQLH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LH/wzp6_ee_nunuH_HVV_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_tautauH_HQQ_ecm240      QQ_QQLH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LH/wzp6_ee_tautauH_HQQ_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_tautauH_HVV_ecm240      QQ_QQLH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LH/wzp6_ee_tautauH_HVV_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_tautauH_Hgg_ecm240      QQ_QQLH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LH/wzp6_ee_tautauH_Hgg_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_tautauH_Htautau_ecm240  QQ_QQLH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LH/wzp6_ee_tautauH_Htautau_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_tautau_ecm240           QQ_QQLH                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LH/wzp6_ee_tautau_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes data_obs                        QQ_QQLL                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LL/wzp6_ee_LLH_Htautau_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes p8_ee_WW_ecm240                 QQ_QQLL                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LL/p8_ee_WW_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes p8_ee_ZZ_ecm240                 QQ_QQLL                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LL/p8_ee_ZZ_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes p8_ee_Zqq_ecm240                QQ_QQLL                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LL/p8_ee_Zqq_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_LLH_HQQ_ecm240          QQ_QQLL                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LL/wzp6_ee_LLH_HQQ_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_LLH_HVV_ecm240          QQ_QQLL                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LL/wzp6_ee_LLH_HVV_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_LLH_Hgg_ecm240          QQ_QQLL                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LL/wzp6_ee_LLH_Hgg_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_LLH_Htautau_ecm240      QQ_QQLL                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LL/wzp6_ee_LLH_Htautau_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_LL_ecm240               QQ_QQLL                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LL/wzp6_ee_LL_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_QQH_HVV_ecm240          QQ_QQLL                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LL/wzp6_ee_QQH_HVV_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_QQH_Htautau_ecm240      QQ_QQLL                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LL/wzp6_ee_QQH_Htautau_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_nunuH_HVV_ecm240        QQ_QQLL                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LL/wzp6_ee_nunuH_HVV_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_tautauH_HQQ_ecm240      QQ_QQLL                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LL/wzp6_ee_tautauH_HQQ_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_tautauH_HVV_ecm240      QQ_QQLL                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LL/wzp6_ee_tautauH_HVV_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_tautauH_Hgg_ecm240      QQ_QQLL                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LL/wzp6_ee_tautauH_Hgg_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
shapes wzp6_ee_tautauH_Htautau_ecm240  QQ_QQLL                         /ceph/awiedl/FCCee/HiggsCP/ktN-explicit/final_241202/QQ/LL/wzp6_ee_tautauH_Htautau_ecm240_selReco_100Coll150_115Rec160_2DR_cos0.6_misscos0.98_70Z100_histo.root Recoil
----------------------------------------------------------------------------------------------------------------------------------
bin          QQ_QQLL      QQ_QQLH      QQ_QQHH      LL_LLLL      LL_LLLH      LL_LLHH      NuNu_NuNuLL  NuNu_NuNuLH  NuNu_NuNuHH
observation  -1           -1           -1           -1           -1           -1           -1           -1           -1         
----------------------------------------------------------------------------------------------------------------------------------
bin          QQ_QQLL                         QQ_QQLL                         QQ_QQLL                         QQ_QQLL                         QQ_QQLL                         QQ_QQLL                         QQ_QQLL                         QQ_QQLL                         QQ_QQLL                         QQ_QQLL                         QQ_QQLL                         QQ_QQLL                         QQ_QQLL                         QQ_QQLL                         QQ_QQLL                         QQ_QQLH                         QQ_QQLH                         QQ_QQLH                         QQ_QQLH                         QQ_QQLH                         QQ_QQLH                         QQ_QQLH                         QQ_QQLH                         QQ_QQLH                         QQ_QQLH                         QQ_QQLH                         QQ_QQLH                         QQ_QQLH                         QQ_QQLH                         QQ_QQLH                         QQ_QQLH                         QQ_QQLH                         QQ_QQLH                         QQ_QQHH                         QQ_QQHH                         QQ_QQHH                         QQ_QQHH                         QQ_QQHH                         QQ_QQHH                         QQ_QQHH                         QQ_QQHH                         QQ_QQHH                         QQ_QQHH                         QQ_QQHH                         QQ_QQHH                         QQ_QQHH                         QQ_QQHH                         QQ_QQHH                         QQ_QQHH                         QQ_QQHH                         QQ_QQHH                         QQ_QQHH                         QQ_QQHH                         QQ_QQHH                         LL_LLLL                         LL_LLLL                         LL_LLLL                         LL_LLLL                         LL_LLLL                         LL_LLLL                         LL_LLLL                         LL_LLLH                         LL_LLLH                         LL_LLLH                         LL_LLLH                         LL_LLLH                         LL_LLLH                         LL_LLLH                         LL_LLHH                         LL_LLHH                         LL_LLHH                         LL_LLHH                         LL_LLHH                         LL_LLHH                         LL_LLHH                         LL_LLHH                         LL_LLHH                         LL_LLHH                         LL_LLHH                         LL_LLHH                         NuNu_NuNuLL                     NuNu_NuNuLL                     NuNu_NuNuLL                     NuNu_NuNuLL                     NuNu_NuNuLL                     NuNu_NuNuLL                     NuNu_NuNuLL                     NuNu_NuNuLL                     NuNu_NuNuLL                     NuNu_NuNuLL                     NuNu_NuNuLL                     NuNu_NuNuLL                     NuNu_NuNuLL                     NuNu_NuNuLL                     NuNu_NuNuLH                     NuNu_NuNuLH                     NuNu_NuNuLH                     NuNu_NuNuLH                     NuNu_NuNuLH                     NuNu_NuNuLH                     NuNu_NuNuLH                     NuNu_NuNuLH                     NuNu_NuNuLH                     NuNu_NuNuLH                     NuNu_NuNuLH                     NuNu_NuNuLH                     NuNu_NuNuLH                     NuNu_NuNuLH                     NuNu_NuNuLH                     NuNu_NuNuLH                     NuNu_NuNuLH                     NuNu_NuNuLH                     NuNu_NuNuLH                     NuNu_NuNuLH                     NuNu_NuNuHH                     NuNu_NuNuHH                     NuNu_NuNuHH                     NuNu_NuNuHH                     NuNu_NuNuHH                     NuNu_NuNuHH                     NuNu_NuNuHH                     NuNu_NuNuHH                     NuNu_NuNuHH                     NuNu_NuNuHH                     NuNu_NuNuHH                     NuNu_NuNuHH                     NuNu_NuNuHH                     NuNu_NuNuHH                     NuNu_NuNuHH                     NuNu_NuNuHH                     NuNu_NuNuHH                     NuNu_NuNuHH                     NuNu_NuNuHH                     NuNu_NuNuHH                     NuNu_NuNuHH                   
process      wzp6_ee_LLH_Htautau_ecm240      wzp6_ee_QQH_Htautau_ecm240      p8_ee_WW_ecm240                 p8_ee_Zqq_ecm240                p8_ee_ZZ_ecm240                 wzp6_ee_LL_ecm240               wzp6_ee_tautauH_Htautau_ecm240  wzp6_ee_tautauH_HQQ_ecm240      wzp6_ee_tautauH_Hgg_ecm240      wzp6_ee_tautauH_HVV_ecm240      wzp6_ee_nunuH_HVV_ecm240        wzp6_ee_LLH_HQQ_ecm240          wzp6_ee_LLH_Hgg_ecm240          wzp6_ee_LLH_HVV_ecm240          wzp6_ee_QQH_HVV_ecm240          wzp6_ee_LLH_Htautau_ecm240      wzp6_ee_QQH_Htautau_ecm240      p8_ee_WW_ecm240                 p8_ee_Zqq_ecm240                p8_ee_ZZ_ecm240                 wzp6_ee_LL_ecm240               wzp6_ee_tautau_ecm240           wzp6_ee_tautauH_Htautau_ecm240  wzp6_ee_tautauH_HQQ_ecm240      wzp6_ee_tautauH_Hgg_ecm240      wzp6_ee_tautauH_HVV_ecm240      wzp6_ee_nunuH_HQQ_ecm240        wzp6_ee_nunuH_HVV_ecm240        wzp6_ee_LLH_HQQ_ecm240          wzp6_ee_LLH_Hgg_ecm240          wzp6_ee_LLH_HVV_ecm240          wzp6_ee_QQH_HQQ_ecm240          wzp6_ee_QQH_HVV_ecm240          wzp6_ee_nunuH_Htautau_ecm240    wzp6_ee_LLH_Htautau_ecm240      wzp6_ee_QQH_Htautau_ecm240      p8_ee_WW_ecm240                 p8_ee_Zqq_ecm240                p8_ee_ZZ_ecm240                 wzp6_ee_tautau_ecm240           wzp6_ee_nuenueZ_ecm240          wzp6_ee_tautauH_Htautau_ecm240  wzp6_ee_tautauH_HQQ_ecm240      wzp6_ee_tautauH_Hgg_ecm240      wzp6_ee_tautauH_HVV_ecm240      wzp6_ee_nunuH_HQQ_ecm240        wzp6_ee_nunuH_Hgg_ecm240        wzp6_ee_nunuH_HVV_ecm240        wzp6_ee_LLH_HQQ_ecm240          wzp6_ee_LLH_Hgg_ecm240          wzp6_ee_LLH_HVV_ecm240          wzp6_ee_QQH_HQQ_ecm240          wzp6_ee_QQH_Hgg_ecm240          wzp6_ee_QQH_HVV_ecm240          wzp6_ee_LLH_Htautau_ecm240      p8_ee_WW_ecm240                 p8_ee_ZZ_ecm240                 wzp6_ee_tautauH_Htautau_ecm240  wzp6_ee_tautauH_HVV_ecm240      wzp6_ee_nunuH_HVV_ecm240        wzp6_ee_LLH_HVV_ecm240          wzp6_ee_LLH_Htautau_ecm240      p8_ee_ZZ_ecm240                 wzp6_ee_tautauH_Htautau_ecm240  wzp6_ee_tautauH_HVV_ecm240      wzp6_ee_nunuH_HVV_ecm240        wzp6_ee_LLH_HQQ_ecm240          wzp6_ee_LLH_HVV_ecm240          wzp6_ee_LLH_Htautau_ecm240      wzp6_ee_QQH_Htautau_ecm240      p8_ee_WW_ecm240                 p8_ee_ZZ_ecm240                 wzp6_ee_tautauH_Htautau_ecm240  wzp6_ee_tautauH_HQQ_ecm240      wzp6_ee_tautauH_HVV_ecm240      wzp6_ee_nunuH_HVV_ecm240        wzp6_ee_LLH_HQQ_ecm240          wzp6_ee_LLH_Hgg_ecm240          wzp6_ee_LLH_HVV_ecm240          wzp6_ee_QQH_HVV_ecm240          wzp6_ee_nunuH_Htautau_ecm240    wzp6_ee_LLH_Htautau_ecm240      p8_ee_WW_ecm240                 p8_ee_Zqq_ecm240                p8_ee_ZZ_ecm240                 wzp6_ee_LL_ecm240               wzp6_ee_tautau_ecm240           wzp6_ee_nuenueZ_ecm240          wzp6_ee_egamma_eZ_ZLL_ecm240    wzp6_ee_gaga_LL_60_ecm240       wzp6_ee_tautauH_Htautau_ecm240  wzp6_ee_tautauH_HVV_ecm240      wzp6_ee_nunuH_HVV_ecm240        wzp6_ee_LLH_HVV_ecm240          wzp6_ee_nunuH_Htautau_ecm240    wzp6_ee_LLH_Htautau_ecm240      wzp6_ee_QQH_Htautau_ecm240      p8_ee_WW_ecm240                 p8_ee_Zqq_ecm240                p8_ee_ZZ_ecm240                 wzp6_ee_LL_ecm240               wzp6_ee_tautau_ecm240           wzp6_ee_nuenueZ_ecm240          wzp6_ee_egamma_eZ_ZLL_ecm240    wzp6_ee_gaga_LL_60_ecm240       wzp6_ee_tautauH_Htautau_ecm240  wzp6_ee_tautauH_HQQ_ecm240      wzp6_ee_tautauH_Hgg_ecm240      wzp6_ee_tautauH_HVV_ecm240      wzp6_ee_nunuH_HQQ_ecm240        wzp6_ee_nunuH_HVV_ecm240        wzp6_ee_LLH_HQQ_ecm240          wzp6_ee_LLH_HVV_ecm240          wzp6_ee_QQH_HVV_ecm240          wzp6_ee_nunuH_Htautau_ecm240    wzp6_ee_LLH_Htautau_ecm240      wzp6_ee_QQH_Htautau_ecm240      p8_ee_WW_ecm240                 p8_ee_Zqq_ecm240                p8_ee_ZZ_ecm240                 wzp6_ee_LL_ecm240               wzp6_ee_tautau_ecm240           wzp6_ee_nuenueZ_ecm240          wzp6_ee_egamma_eZ_ZLL_ecm240    wzp6_ee_gaga_LL_60_ecm240       wzp6_ee_tautauH_Htautau_ecm240  wzp6_ee_tautauH_HQQ_ecm240      wzp6_ee_tautauH_Hgg_ecm240      wzp6_ee_tautauH_HVV_ecm240      wzp6_ee_nunuH_HQQ_ecm240        wzp6_ee_nunuH_Hgg_ecm240        wzp6_ee_nunuH_HVV_ecm240        wzp6_ee_LLH_HQQ_ecm240          wzp6_ee_LLH_HVV_ecm240          wzp6_ee_QQH_HVV_ecm240        
process      -2                              -1                              1                               2                               3                               4                               5                               6                               7                               8                               9                               10                              11                              12                              13                              -2                              -1                              1                               2                               3                               4                               14                              5                               6                               7                               8                               15                              9                               10                              11                              12                              16                              13                              0                               -2                              -1                              1                               2                               3                               14                              17                              5                               6                               7                               8                               15                              18                              9                               10                              11                              12                              16                              19                              13                              -2                              1                               3                               5                               8                               9                               12                              -2                              3                               5                               8                               9                               10                              12                              -2                              -1                              1                               3                               5                               6                               8                               9                               10                              11                              12                              13                              0                               -2                              1                               2                               3                               4                               14                              17                              20                              21                              5                               8                               9                               12                              0                               -2                              -1                              1                               2                               3                               4                               14                              17                              20                              21                              5                               6                               7                               8                               15                              9                               10                              12                              13                              0                               -2                              -1                              1                               2                               3                               4                               14                              17                              20                              21                              5                               6                               7                               8                               15                              18                              9                               10                              12                              13                            
rate         -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                              -1                            
----------------------------------------------------------------------------------------------------------------------------------
free          rateParam QQ_QQHH p8_ee_WW_ecm240 1.0 
free          rateParam QQ_QQHH p8_ee_ZZ_ecm240 1.0 
free          rateParam QQ_QQHH p8_ee_Zqq_ecm240 1.0 
free          rateParam QQ_QQHH wzp6_ee_LLH_HQQ_ecm240 1.0 
free          rateParam QQ_QQHH wzp6_ee_LLH_HVV_ecm240 1.0 
free          rateParam QQ_QQHH wzp6_ee_LLH_Hgg_ecm240 1.0 
free          rateParam QQ_QQHH wzp6_ee_LLH_Htautau_ecm240 1.0 
free          rateParam QQ_QQHH wzp6_ee_QQH_HQQ_ecm240 1.0 
free          rateParam QQ_QQHH wzp6_ee_QQH_HVV_ecm240 1.0 
free          rateParam QQ_QQHH wzp6_ee_QQH_Hgg_ecm240 1.0 
free          rateParam QQ_QQHH wzp6_ee_QQH_Htautau_ecm240 1.0 
free          rateParam QQ_QQHH wzp6_ee_nuenueZ_ecm240 1.0 
free          rateParam QQ_QQHH wzp6_ee_nunuH_HQQ_ecm240 1.0 
free          rateParam QQ_QQHH wzp6_ee_nunuH_HVV_ecm240 1.0 
free          rateParam QQ_QQHH wzp6_ee_nunuH_Hgg_ecm240 1.0 
free          rateParam QQ_QQHH wzp6_ee_nunuH_Htautau_ecm240 1.0 
free          rateParam QQ_QQHH wzp6_ee_tautauH_HQQ_ecm240 1.0 
free          rateParam QQ_QQHH wzp6_ee_tautauH_HVV_ecm240 1.0 
free          rateParam QQ_QQHH wzp6_ee_tautauH_Hgg_ecm240 1.0 
free          rateParam QQ_QQHH wzp6_ee_tautauH_Htautau_ecm240 1.0 
free          rateParam QQ_QQHH wzp6_ee_tautau_ecm240 1.0 
free          rateParam QQ_QQLH p8_ee_WW_ecm240 1.0 
free          rateParam QQ_QQLH p8_ee_ZZ_ecm240 1.0 
free          rateParam QQ_QQLH p8_ee_Zqq_ecm240 1.0 
free          rateParam QQ_QQLH wzp6_ee_LLH_HQQ_ecm240 1.0 
free          rateParam QQ_QQLH wzp6_ee_LLH_HVV_ecm240 1.0 
